OBJECTID,MES,SEMBRADO,PREPARADO,SV,POINT_X,POINT_Y,B3,B4,B8,B11,NDVI,NDMI,STATUS,HUMEDAD,TEMPERATUR,HUM_ORD,TEMP_ORD,MES_ORD,STATUS_ORD
476,ENERO,1,0,0,-100.2339696,20.6817629,932.25,750.0333333,3289.716667,2066.666667,0.621329,0.218472,SEMBRADO,BAJA,BAJA,1,3,1,3
477,ENERO,1,0,0,-100.22883,20.68182001,1008.75,915.6833333,3094.083333,2475.483333,0.545642,0.108857,SEMBRADO,BAJA,BAJA,1,3,1,3
478,ENERO,1,0,0,-100.2270216,20.67854587,955.0666667,738.6166667,3666.9,2164.316667,0.654365,0.246099,SEMBRADO,BAJA,BAJA,1,3,1,3
479,ENERO,1,0,0,-100.228592,20.67826033,953.5166667,817.8,3220.5,2192.483333,0.591006,0.184291,SEMBRADO,BAJA,BAJA,1,3,1,3
480,ENERO,1,0,0,-100.2450954,20.69629486,923.4,862.3833333,2777.85,1738.116667,0.456672,0.177203,SEMBRADO,BAJA,BAJA,1,3,1,3
481,ENERO,1,0,0,-100.3449107,20.74753908,1221.8,1029.233333,3718.8,1844.766667,0.644137,0.327706,SEMBRADO,BAJA,BAJA,1,3,1,3
482,ENERO,1,0,0,-100.3462242,20.74622561,1285.616667,1100.166667,3303.891667,2021.375,0.575281,0.228629,SEMBRADO,BAJA,BAJA,1,3,1,3
483,ENERO,1,0,0,-100.3562179,20.74508347,1291.466667,1117.825,3216.383333,1906.225,0.569406,0.238386,SEMBRADO,BAJA,BAJA,1,3,1,3
484,ENERO,1,0,0,-100.3530199,20.74005805,1214.266667,1006.5,3375.366667,1755.083333,0.627592,0.29995,SEMBRADO,BAJA,BAJA,1,3,1,3
485,ENERO,1,0,0,-100.35519,20.73920145,1263.35,1261.241667,2951.775,2165.016667,0.426199,0.112789,SEMBRADO,BAJA,BAJA,1,3,1,3
486,ENERO,1,0,0,-100.3614718,20.75770413,1227.383333,1047.6,3528.391667,1777.475,0.599401,0.308406,SEMBRADO,BAJA,BAJA,1,3,1,3
487,ENERO,1,0,0,-100.3601012,20.76141609,1378.95,1391.008333,2880.708333,2128.966667,0.367051,0.0892416,SEMBRADO,BAJA,BAJA,1,3,1,3
488,ENERO,1,0,0,-100.2193639,20.75878196,1158.5,1099.891667,3291.758333,2486.933333,0.527208,0.136711,SEMBRADO,BAJA,BAJA,1,3,1,3
489,ENERO,1,0,0,-100.2165085,20.75778259,1091.65,942.6666667,3478.783333,2316,0.585038,0.184345,SEMBRADO,BAJA,BAJA,1,3,1,3
490,ENERO,1,0,0,-100.2198636,20.75714013,1146.65,1027.333333,3437.125,2411.541667,0.561579,0.168208,SEMBRADO,BAJA,BAJA,1,3,1,3
491,ENERO,1,0,0,-100.1999118,20.76898985,1153.133333,1047.1,3315.283333,2316.275,0.519215,0.148547,SEMBRADO,BAJA,BAJA,1,3,1,3
492,ENERO,1,0,0,-100.1870627,20.7643499,889.2619048,606.3809524,3234.785714,1436.866667,0.7135,0.387587,SEMBRADO,BAJA,BAJA,1,3,1,3
493,ENERO,1,0,0,-100.1872769,20.76499235,971.2440476,809.5,2862.482143,1709.458333,0.591496,0.260224,SEMBRADO,BAJA,BAJA,1,3,1,3
494,ENERO,1,0,0,-100.1912744,20.76574188,1081.7,877.9666667,3410.883333,2192.575,0.616158,0.208715,SEMBRADO,BAJA,BAJA,1,3,1,3
495,ENERO,1,0,0,-100.1950577,20.77016768,1028.55,878.4583333,3279.025,2243.283333,0.601184,0.174624,SEMBRADO,BAJA,BAJA,1,3,1,3
496,ENERO,0,0,1,-100.2999621,20.76733378,1771.033333,2353,3127.441667,3645.508333,0.151627,-0.0855319,INACTIVO,BAJA,BAJA,1,3,1,1
497,ENERO,0,0,1,-100.2953816,20.77114091,1679.825,2141.033333,2776.608333,3117.608333,0.137868,-0.0804669,INACTIVO,BAJA,BAJA,1,3,1,1
498,ENERO,0,0,1,-100.3006164,20.78053979,1381.066667,1651.091667,2197.2,2444.475,0.162573,-0.100193,INACTIVO,BAJA,BAJA,1,3,1,1
499,ENERO,0,0,1,-100.3025795,20.78065876,1477.366667,1783.091667,2337.358333,2511.766667,0.148369,-0.0666095,INACTIVO,BAJA,BAJA,1,3,1,1
500,ENERO,0,0,1,-100.3322633,20.78333565,1308.8,1510.083333,1960.4,2343.083333,0.153343,-0.128184,INACTIVO,BAJA,BAJA,1,3,1,1
501,ENERO,0,0,1,-100.3328581,20.78613152,1257.616667,1417.383333,1823.116667,2191.525,0.152051,-0.139017,INACTIVO,BAJA,BAJA,1,3,1,1
502,ENERO,0,0,1,-100.3546302,20.7782793,1305.5,1678.783333,2555.75,3322.633333,0.230219,-0.142491,INACTIVO,BAJA,BAJA,1,3,1,1
503,ENERO,0,0,1,-100.3571841,20.77091487,1322.933333,1498.583333,2034.283333,2457.741667,0.180619,-0.124884,INACTIVO,BAJA,BAJA,1,3,1,1
504,ENERO,0,0,1,-100.3572793,20.77281843,1372.95,1561.608333,2127.408333,2538.708333,0.176969,-0.117445,INACTIVO,BAJA,BAJA,1,3,1,1
505,ENERO,0,0,1,-100.3160908,20.76703634,1524.425,1837.716667,2437.2,2857.533333,0.151898,-0.102626,INACTIVO,BAJA,BAJA,1,3,1,1
506,ENERO,0,0,1,-100.2053051,20.77859011,1312.65,1613.791667,2169.241667,2968.275,0.153459,-0.161123,INACTIVO,BAJA,BAJA,1,3,1,1
507,ENERO,0,0,1,-100.210559,20.76791109,1604.333333,2010.816667,2641.825,3516.9,0.143633,-0.152915,INACTIVO,BAJA,BAJA,1,3,1,1
508,ENERO,0,0,1,-100.2171834,20.77019538,1281.116667,1559.433333,2031.933333,2887.933333,0.144791,-0.192699,INACTIVO,BAJA,BAJA,1,3,1,1
509,ENERO,0,0,1,-100.1857745,20.77373601,1156.041667,1400.75,1902.708333,2861.375,0.158548,-0.204438,INACTIVO,BAJA,BAJA,1,3,1,1
510,ENERO,0,0,1,-100.317787,20.73357118,1622.383333,1941.433333,2463.483333,3228.975,0.131821,-0.161081,INACTIVO,BAJA,BAJA,1,3,1,1
511,ENERO,0,0,1,-100.3289229,20.73778283,1732.2,2082.941667,2699.841667,3239.641667,0.146767,-0.112721,INACTIVO,BAJA,BAJA,1,3,1,1
512,ENERO,0,0,1,-100.3384169,20.73535578,1683.466667,2025.683333,2700.333333,2972.758333,0.169809,-0.0735878,INACTIVO,BAJA,BAJA,1,3,1,1
513,ENERO,0,0,1,-100.336561,20.73549854,1798.45,2162.15,2862.741667,3135.541667,0.158917,-0.0676943,INACTIVO,BAJA,BAJA,1,3,1,1
514,ENERO,0,0,1,-100.273529,20.72971645,1253.05,1461.95,1924.416667,2809.2,0.149766,-0.208859,INACTIVO,BAJA,BAJA,1,3,1,1
515,ENERO,0,0,1,-100.2736004,20.73228627,1196.591667,1390.45,1773.866667,2746.333333,0.136232,-0.240776,INACTIVO,BAJA,BAJA,1,3,1,1
516,ENERO,0,0,1,-100.2682466,20.71750982,1461.566667,1754.6,2298.583333,3010.925,0.143847,-0.147931,INACTIVO,BAJA,BAJA,1,3,1,1
517,ENERO,0,0,1,-100.2247772,20.66592674,1232.383333,1655.183333,2212.3,3115.966667,0.145613,-0.170778,INACTIVO,BAJA,BAJA,1,3,1,1
518,ENERO,0,0,1,-100.2139839,20.6623861,1294.983333,1691,2200.216667,3269.933333,0.13537,-0.20207,INACTIVO,BAJA,BAJA,1,3,1,1
